"I would like to inform you that I have added a product in your store. Product details are given below.","I would like to inform you that I have added a product in your store. Product details are given below."
"The Product Is Already Assign To Other Partner","The Product Is Already Assign To Other Partner"
"The Product Is Been Assigned To Partner","The Product Is Been Assigned To Partner"
"The Product Doesn't Exist","The Product Doesn't Exist"
"Item","Item"
"Sku","Sku"
"Qty","Qty"
"Subtotal","Subtotal"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"By Seller","By Seller"
"Partner No Longer Exists","Partner No Longer Exists"
"Grandtotal","Grandtotal"
"Product Status when Unsubscribe a Customer from Partner","Product Status when Unsubscribe a Customer from Partner"
